cod;nm_categoria;de_categoria
H32;H32   Transt coriorretinianos em doenc COP;Transtornos coriorretinianos em doenças classificadas em outra parte
H33;H33   Descolamentos e defeitos da retina;Descolamentos e defeitos da retina
H34;H34   Oclusoes vasculares da retina;Oclusões vasculares da retina
H35;H35   Outr transt da retina;Outros transtornos da retina
H36;H36   Transt da retina em doenc COP;Transtornos da retina em doenças classificadas em outra parte
H40;H40   Glaucoma;Glaucoma
H42;H42   Glaucoma em doenc COP;Glaucoma em doenças classificadas em outra parte
H43;H43   Transt do humor vitreo;Transtornos do humor vítreo
H44;H44   Transt do globo ocular;Transtornos do globo ocular
H45;H45   Transt humor vitreo e globo ocular doenc COP;Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte
H46;H46   Neurite optica;Neurite óptica
H47;H47   Outr transt do nervo optico e vias opticas;Outros transtornos do nervo óptico e das vias ópticas
H48;H48   Transt nervo optico e vias opticas doenc COP;Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte
H49;H49   Estrabismo paralitico;Estrabismo paralítico
H50;H50   Outr estrabismos;Outros estrabismos
H51;H51   Outr transt do movimento binocular;Outros transtornos do movimento binocular
H52;H52   Transt da refracao e da acomodacao;Transtornos da refração e da acomodação
H53;H53   Disturbios visuais;Distúrbios visuais
H54;H54   Cegueira e visao subnormal;Cegueira e visão subnormal
H55;H55   Nistagmo e outr movimentos irregulares olho;Nistagmo e outros movimentos irregulares do olho
H57;H57   Outr transt do olho e anexos;Outros transtornos do olho e anexos
H58;H58   Outr transt do olho e anexos em doenc COP;Outros transtornos do olho e anexos em doenças classificadas em outra parte
H59;H59   Transt do olho e anexos pos-proced NCOP;Transtornos do olho e anexos pós-procedimento não classificados em outra parte
H60;H60   Otite externa;Otite externa
H61;H61   Outr transt do ouvido externo;Outros transtornos do ouvido externo
H62;H62   Transt do ouvido externo em doenc COP;Transtornos do ouvido externo em doenças classificadas em outra parte
H65;H65   Otite media nao-supurativa;Otite média não-supurativa
H66;H66   Otite media supurativa e as NE;Otite média supurativa e as não especificadas
H67;H67   Otite media em doenc COP;Otite média em doenças classificadas em outra parte
H68;H68   Salpingite e obstrucao trompa de Eustaquio;Salpingite e obstrução da trompa de Eustáquio
H69;H69   Outr transt da trompa de Eustaquio;Outros transtornos da trompa de Eustáquio
H70;H70   Mastoidite e afeccoes correlatas;Mastoidite e afecções correlatas
H71;H71   Colesteatoma do ouvido medio;Colesteatoma do ouvido médio
H72;H72   Perfuracao da membrana do timpano;Perfuração da membrana do tímpano
H73;H73   Outr transt da membrana do timpano;Outros transtornos da membrana do tímpano
H74;H74   Outr transt do ouvido medio e da mastoide;Outros transtornos do ouvido médio e da mastóide
H75;H75   Outr transt ouvido medio mastoide doenc COP;Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte
H80;H80   Otosclerose;Otosclerose
H81;H81   Transt da funcao vestibular;Transtornos da função vestibular
H82;H82   Sindr vertiginosas em doenc COP;Síndromes vertiginosas em doenças classificadas em outra parte
H83;H83   Outr transt do ouvido interno;Outros transtornos do ouvido interno
H90;H90   Perda audicao transt conducao neuro-sens;Perda de audição por transtorno de condução e/ou neuro-sensorial
H91;H91   Outr perdas de audicao;Outras perdas de audição
H92;H92   Otalgia e secrecao auditiva;Otalgia e secreção auditiva
H93;H93   Outr transt do ouvido NCOP;Outros transtornos do ouvido não classificados em outra parte
H94;H94   Outr transt do ouvido em doenc COP;Outros transtornos do ouvido em doenças classificadas em outra parte
H95;H95   Transt ouvido apof mastoide pos-proced NCOP;Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte
I00;I00   Febre reumatica s/mencao de compr do coracao;Febre reumática sem menção de comprometimento do coração
I01;I01   Febre reumatica c/compr do coracao;Febre reumática com comprometimento do coração
I02;I02   Coreia reumatica;Coréia reumática
I05;I05   Doenc reumaticas da valva mitral;Doenças reumáticas da valva mitral
I06;I06   Doenc reumaticas da valva aortica;Doenças reumáticas da valva aórtica
I07;I07   Doenc reumaticas da valva tricuspide;Doenças reumáticas da valva tricúspide
I08;I08   Doenc de mult valvas;Doenças de múltiplas valvas
I09;I09   Outr doenc reumaticas do coracao;Outras doenças reumáticas do coração
I10;I10   Hipertensao essencial;Hipertensão essencial (primária)
I11;I11   Doenc cardiaca hipertensiva;Doença cardíaca hipertensiva
I12;I12   Doenc renal hipertensiva;Doença renal hipertensiva
I13;I13   Doenc cardiaca e renal hipertensiva;Doença cardíaca e renal hipertensiva
I15;I15   Hipertensao secund;Hipertensão secundária
I20;I20   Angina pectoris;Angina pectoris
I21;I21   Infarto agudo do miocardio;Infarto agudo do miocárdio
I22;I22   Infarto do miocardio recorrente;Infarto do miocárdio recorrente
I23;I23   Alg complic atuais subs infarto agud miocard;Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio
I24;I24   Outr doenc isquemicas agudas do coracao;Outras doenças isquêmicas agudas do coração
I25;I25   Doenc isquemica cronica do coracao;Doença isquêmica crônica do coração
I26;I26   Embolia pulmonar;Embolia pulmonar
I27;I27   Outr form de doenc cardiaca pulmonar;Outras formas de doença cardíaca pulmonar
I28;I28   Outr doenc dos vasos pulmonares;Outras doenças dos vasos pulmonares
I30;I30   Pericardite aguda;Pericardite aguda
I31;I31   Outr doenc do pericardio;Outras doenças do pericárdio
I32;I32   Pericardite em doenc COP;Pericardite em doenças classificadas em outra parte
I33;I33   Endocardite aguda e subaguda;Endocardite aguda e subaguda
I34;I34   Transt nao-reumaticos da valva mitral;Transtornos não-reumáticos da valva mitral
I35;I35   Transt nao-reumaticos da valva aortica;Transtornos não-reumáticos da valva aórtica
I36;I36   Transt nao-reumaticos da valva tricuspide;Transtornos não-reumáticos da valva tricúspide
I37;I37   Transt da valva pulmonar;Transtornos da valva pulmonar
I38;I38   Endocardite de valva NE;Endocardite de valva não especificada
I39;I39   Endocardite transt valvulares card doenc COP;Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte
I40;I40   Miocardite aguda;Miocardite aguda
I41;I41   Miocardite em doenc COP;Miocardite em doenças classificadas em outra parte
I42;I42   Cardiomiopatias;Cardiomiopatias
I43;I43   Cardiomiopatia em doenc COP;Cardiomiopatia em doenças classificadas em outra parte
I44;I44   Bloqueio atrioventricular e do ramo esquerdo;Bloqueio atrioventricular e do ramo esquerdo
I45;I45   Outr transt de conducao;Outros transtornos de condução
I46;I46   Parada cardiaca;Parada cardíaca
I47;I47   Taquicardia paroxistica;Taquicardia paroxística
I48;I48   Flutter e fibrilacao atrial;Flutter e fibrilação atrial
I49;I49   Outr arritmias cardiacas;Outras arritmias cardíacas
I50;I50   Insuf cardiaca;Insuficiência cardíaca
I51;I51   Complic cardiopatias doenc cardiacas mal def;Complicações de cardiopatias e doenças cardíacas mal definidas
I52;I52   Outr afeccoes cardiacas em doenc COP;Outras afecções cardíacas em doenças classificadas em outra parte
I60;I60   Hemorragia subaracnoide;Hemorragia subaracnóide
I61;I61   Hemorragia intracerebral;Hemorragia intracerebral
I62;I62   Outr hemorragias intracranianas nao-traum;Outras hemorragias intracranianas não-traumáticas
I63;I63   Infarto cerebral;Infarto cerebral
I64;I64   Acid vasc cerebr NE como hemorrag isquemico;Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico
I65;I65   Oclus/esten art pre-cereb q n res inf cereb;Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral
I66;I66   Oclusao/estenose art cereb q n res inf cereb;Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral
I67;I67   Outr doenc cerebrovasculares;Outras doenças cerebrovasculares
I68;I68   Transt cerebrovasculares em doenc COP;Transtornos cerebrovasculares em doenças classificadas em outra parte
I69;I69   Sequelas de doenc cerebrovasculares;Seqüelas de doenças cerebrovasculares
I70;I70   Aterosclerose;Aterosclerose
I71;I71   Aneurisma e disseccao da aorta;Aneurisma e dissecção da aorta
I72;I72   Outr aneurismas;Outros aneurismas
I73;I73   Outr doenc vasculares perifericas;Outras doenças vasculares periféricas
I74;I74   Embolia e trombose arteriais;Embolia e trombose arteriais
I77;I77   Outr afeccoes das arterias e arteriolas;Outras afecções das artérias e arteríolas
I78;I78   Doenc dos capilares;Doenças dos capilares
I79;I79   Transt arter arteriolas capilares doenc COP;Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte
I80;I80   Flebite e tromboflebite;Flebite e tromboflebite
I81;I81   Trombose da veia porta;Trombose da veia porta
I82;I82   Outr embolia e trombose venosas;Outra embolia e trombose venosas
I83;I83   Varizes dos membros infer;Varizes dos membros inferiores
I84;I84   Hemorroidas;Hemorróidas
I85;I85   Varizes esofagianas;Varizes esofagianas
I86;I86   Varizes de outr localiz;Varizes de outras localizações
I87;I87   Outr transt das veias;Outros transtornos das veias
I88;I88   Linfadenite inespecifica;Linfadenite inespecífica
I89;I89   Outr transt nao-infecc vasos linf gangl linf;Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos
I95;I95   Hipotensao;Hipotensão
I97;I97   Transt aparelho circulat subseq proced NCOP;Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte
I98;I98   Outr transt aparelho circulatorio doenc COP;Outros transtornos do aparelho circulatório em doenças classificadas em outra parte
I99;I99   Outr transt do aparelho circulatorio e os NE;Outros transtornos do aparelho circulatório e os não especificados
J00;J00   Nasofaringite aguda;Nasofaringite aguda [resfriado comum]
J01;J01   Sinusite aguda;Sinusite aguda
J02;J02   Faringite aguda;Faringite aguda
J03;J03   Amigdalite aguda;Amigdalite aguda
J04;J04   Laringite e traqueite agudas;Laringite e traqueíte agudas
J05;J05   Laringite obstrutiva aguda e epiglotite;Laringite obstrutiva aguda [crupe] e epiglotite
J06;J06   Infecc agudas vias aereas super loc mult NE;Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas
J09;J09   Influenza dev virus gripe aviária;Influenza [gripe] devida a vírus identificado da gripe aviária
J10;J10   Influenza dev outro virus influenza ident;Influenza devida a outro vírus da influenza [gripe] identificado
J11;J11   Influenza dev virus nao identificado;Influenza [gripe] devida a vírus não identificado
J12;J12   Pneumonia viral NCOP;Pneumonia viral não classificada em outra parte
J13;J13   Pneumonia dev Streptococcus pneumoniae;Pneumonia devida a Streptococcus pneumoniae
J14;J14   Pneumonia dev Haemophilus infuenzae;Pneumonia devida a Haemophilus infuenzae
J15;J15   Pneumonia bacter NCOP;Pneumonia bacteriana não classificada em outra parte
J16;J16   Pneumonia dev out microorg infecc espec NCOP;Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte
J17;J17   Pneumonia em doenc COP;Pneumonia em doenças classificadas em outra parte
J18;J18   Pneumonia p/microorg NE;Pneumonia por microorganismo não especificada
J20;J20   Bronquite aguda;Bronquite aguda
J21;J21   Bronquiolite aguda;Bronquiolite aguda
J22;J22   Infecc agudas NE das vias aereas infer;Infecções agudas não especificada das vias aéreas inferiores
J30;J30   Rinite alergica e vasomotora;Rinite alérgica e vasomotora
J31;J31   Rinite nasofaringite e faringite cronicas;Rinite, nasofaringite e faringite crônicas
J32;J32   Sinusite cronica;Sinusite crônica
J33;J33   Polipo nasal;Pólipo nasal
J34;J34   Outr transt do nariz e dos seios paranasais;Outros transtornos do nariz e dos seios paranasais
J35;J35   Doenc cronicas das amigdalas e das adenoides;Doenças crônicas das amígdalas e das adenóides
J36;J36   Abscesso periamigdaliano;Abscesso periamigdaliano
J37;J37   Laringite e laringotraqueite cronicas;Laringite e laringotraqueíte crônicas
J38;J38   Doenc das cordas vocais e da laringe NCOP;Doenças das cordas vocais e da laringe não classificadas em outra parte
J39;J39   Outr doenc das vias aereas super;Outras doenças das vias aéreas superiores
J40;J40   Bronquite NE como aguda ou cronica;Bronquite não especificada como aguda ou crônica
J41;J41   Bronquite cronica simples e a mucopurulenta;Bronquite crônica simples e a mucopurulenta
J42;J42   Bronquite cronica NE;Bronquite crônica não especificada
J43;J43   Enfisema;Enfisema
J44;J44   Outr doenc pulmonares obstrutivas cronicas;Outras doenças pulmonares obstrutivas crônicas
J45;J45   Asma;Asma
J46;J46   Estado de mal asmatico;Estado de mal asmático
J47;J47   Bronquectasia;Bronquectasia
J60;J60   Pneumoconiose dos mineiros de carvao;Pneumoconiose dos mineiros de carvão
J61;J61   Pneumoconiose dev amianto outr fibr minerais;Pneumoconiose devida a amianto [asbesto] e outras fibras minerais
J62;J62   Pneumoconiose dev poeira que cont silica;Pneumoconiose devida a poeira que contenham sílica
J63;J63   Pneumoconiose dev outr poeiras inorganicas;Pneumoconiose devida a outras poeiras inorgânicas
J64;J64   Pneumoconiose NE;Pneumoconiose não especificada
J65;J65   Pneumoconiose assoc c/tuberc;Pneumoconiose associada com tuberculose
J66;J66   Doenc das vias aereas dev poeiras org espec;Doenças das vias aéreas devida a poeiras orgânicas específicas
J67;J67   Pneumonite hipersensibilid dev poeiras org;Pneumonite de hipersensibilidade devida a poeiras orgânicas
J68;J68   Afecc resp dev inal prod quim gas fumac vap;Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores
J69;J69   Pneumonite dev solidos e liquidos;Pneumonite devida a sólidos e líquidos
J70;J70   Afeccoes respirat dev outr agentes externos;Afecções respiratórias devida a outros agentes externos
J80;J80   Sindr do desconforto respirat do adulto;Síndrome do desconforto respiratório do adulto
J81;J81   Edema pulmonar NE de outr form;Edema pulmonar, não especificado de outra forma
J82;J82   Eosinofilia pulmonar NCOP;Eosinofilia pulmonar, não classificada em outra parte
J84;J84   Outr doenc pulmonares intersticiais;Outras doenças pulmonares intersticiais
J85;J85   Abscesso do pulmao e do mediastino;Abscesso do pulmão e do mediastino
J86;J86   Piotorax;Piotórax
J90;J90   Derrame pleural NCOP;Derrame pleural não classificado em outra parte
J91;J91   Derrame pleural em afeccoes COP;Derrame pleural em afecções classificadas em outra parte
J92;J92   Placas pleurais;Placas pleurais
J93;J93   Pneumotorax;Pneumotórax
J94;J94   Outr afeccoes pleurais;Outras afecções pleurais
J95;J95   Afeccoes respirat pos-proced NCOP;Afecções respiratórias pós-procedimentos não classificadas em outra parte
J96;J96   Insuf respirat NCOP;Insuficiência respiratória não classificada de outra parte
J98;J98   Outr transt respirat;Outros transtornos respiratórios
J99;J99   Transt respirat em doenc COP;Transtornos respiratórios em doenças classificadas em outra parte
K00;K00   Disturbios desenvolv e da erupcao dos dentes;Distúrbios do desenvolvimento e da erupção dos dentes
K01;K01   Dentes inclusos e impactados;Dentes inclusos e impactados
K02;K02   Carie dentaria;Cárie dentária
K03;K03   Outr doenc dos tec dentarios duros;Outras doenças dos tecidos dentários duros
K04;K04   Doenc da polpa e dos tec periapicais;Doenças da polpa e dos tecidos periapicais
K05;K05   Gengivite e doenc periodontais;Gengivite e doenças periodontais
K06;K06   Outr transt gengiva rebordo alveolar s/dent;Outros transtornos da gengiva e do rebordo alveolar sem dentes
K07;K07   Anomalias dentofaciais;Anomalias dentofaciais (inclusive a maloclusão)
K08;K08   Outr transt dentes e estrut de sustentacao;Outros transtornos dos dentes e de suas estruturas de sustentação
K09;K09   Cistos da regiao bucal NCOP;Cistos da região bucal não classificados em outra parte
K10;K10   Outr doenc dos maxilares;Outras doenças dos maxilares
K11;K11   Doenc das gland salivares;Doenças das glândulas salivares
K12;K12   Estomatite e lesoes correlatas;Estomatite e lesões correlatas
K13;K13   Outr doenc do labio e da mucosa oral;Outras doenças do lábio e da mucosa oral
K14;K14   Doenc da lingua;Doenças da língua
K20;K20   Esofagite;Esofagite
K21;K21   Doenc de refluxo gastroesofagico;Doença de refluxo gastroesofágico
K22;K22   Outr doenc do esofago;Outras doenças do esôfago
K23;K23   Transt do esofago em doenc COP;Transtornos do esôfago em doenças classificadas em outra parte
K25;K25   Ulcera gastrica;Úlcera gástrica
K26;K26   Ulcera duodenal;Úlcera duodenal
K27;K27   Ulcera peptica de localiz NE;Úlcera péptica de localização não especificada
K28;K28   Ulcera gastrojejunal;Úlcera gastrojejunal
K29;K29   Gastrite e duodenite;Gastrite e duodenite
K30;K30   Dispepsia;Dispepsia
K31;K31   Outr doenc do estomago e do duodeno;Outras doenças do estômago e do duodeno
K35;K35   Apendicite aguda;Apendicite aguda
K36;K36   Outr form de apendicite;Outras formas de apendicite
K37;K37   Apendicite SOE;Apendicite, sem outras especificações
K38;K38   Outr doenc do apendice;Outras doenças do apêndice
K40;K40   Hernia inguinal;Hérnia inguinal
K41;K41   Hernia femoral;Hérnia femoral
K42;K42   Hernia umbilical;Hérnia umbilical
K43;K43   Hernia ventral;Hérnia ventral
K44;K44   Hernia diafragmatica;Hérnia diafragmática
K45;K45   Outr hernias abdominais;Outras hérnias abdominais
K46;K46   Hernia abdominal NE;Hérnia abdominal não especificada
K50;K50   Doenc de Crohn;Doença de Crohn [enterite regional]
K51;K51   Colite ulcerativa;Colite ulcerativa
K52;K52   Outr gastroenterites e colites nao-infecc;Outras gastroenterites e colites não-infecciosas
K55;K55   Transt vasculares do intestino;Transtornos vasculares do intestino
K56;K56   Ileo paralitico e obstr intestinal s/hernia;Íleo paralítico e obstrução intestinal sem hérnia
K57;K57   Doenc diverticular do intestino;Doença diverticular do intestino
K58;K58   Sindr do colon irritavel;Síndrome do cólon irritável
K59;K59   Outr transt funcionais do intestino;Outros transtornos funcionais do intestino
K60;K60   Fissura e fistula das regioes anal e retal;Fissura e fístula das regiões anal e retal
K61;K61   Abscesso das regioes anal e retal;Abscesso das regiões anal e retal
K62;K62   Outr doenc do reto e do anus;Outras doenças do reto e do ânus
K63;K63   Outr doenc do intestino;Outras doenças do intestino
K65;K65   Peritonite;Peritonite
K66;K66   Outr transt do peritonio;Outros transtornos do peritônio
K67;K67   Compr do peritonio em doenc infecc COP;Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte
K70;K70   Doenc alcoolica do figado;Doença alcoólica do fígado
K71;K71   Doenc hepatica toxica;Doença hepática tóxica
K72;K72   Insuf hepatica NCOP;Insuficiência hepática não classificada em outra parte
K73;K73   Hepatite cronica NCOP;Hepatite crônica não classificada em outra parte
K74;K74   Fibrose e cirrose hepaticas;Fibrose e cirrose hepáticas
K75;K75   Outr doenc inflam do figado;Outras doenças inflamatórias do fígado
K76;K76   Outr doenc do figado;Outras doenças do fígado
K77;K77   Transt do figado em doenc COP;Transtornos do fígado em doenças classificadas em outra parte
K80;K80   Colelitiase;Colelitíase
K81;K81   Colecistite;Colecistite
K82;K82   Outr doenc da vesicula biliar;Outras doenças da vesícula biliar
K83;K83   Outr doenc das vias biliares;Outras doenças das vias biliares
K85;K85   Pancreatite aguda;Pancreatite aguda
K86;K86   Outr doenc do pancreas;Outras doenças do pâncreas
K87;K87   Transt ves biliar via biliar pancr doenc COP;Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte
K90;K90   Ma-absorcao intestinal;Má-absorção intestinal
K91;K91   Transt do aparelho digestivo pos-proced NCOP;Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte
K92;K92   Outr doenc do aparelho digestivo;Outras doenças do aparelho digestivo
K93;K93   Transt de outr orgaos digestivos doenc COP;Transtornos de outros órgãos digestivos em doenças classificadas em outra parte
L00;L00   Sindr pele escaldada estafilococ recem-nasc;Síndrome da pele escaldada estafilocócica do recém-nascido
L01;L01   Impetigo;Impetigo
L02;L02   Abscesso cutaneo furunculo e antraz;Abscesso cutâneo, furúnculo e antraz
L03;L03   Celulite;Celulite (Flegmão)
L04;L04   Linfadenite aguda;Linfadenite aguda
L05;L05   Cisto pilonidal;Cisto pilonidal
L08;L08   Outr infecc localiz pele e tec subcutaneo;Outras infecções localizadas da pele e do tecido subcutâneo
L10;L10   Penfigo;Pênfigo
L11;L11   Outr afeccoes acantoliticas;Outras afecções acantolíticas
L12;L12   Penfigoide;Penfigóide
L13;L13   Outr afeccoes bolhosas;Outras afecções bolhosas
L14;L14   Afeccoes bolhosas em doenc COP;Afecções bolhosas em doenças classificadas em outra parte
L20;L20   Dermatite atopica;Dermatite atópica
L21;L21   Dermatite seborreica;Dermatite seborréica
L22;L22   Dermatite das fraldas;Dermatite das fraldas
L23;L23   Dermatites alergicas de contato;Dermatites alérgicas de contato
L24;L24   Dermatites de contato p/irritantes;Dermatites de contato por irritantes
L25;L25   Dermatite de contato NE;Dermatite de contato não especificada
L26;L26   Dermatite esfoliativa;Dermatite esfoliativa
L27;L27   Dermatite dev subst de uso interno;Dermatite devida a substâncias de uso interno
L28;L28   Liquen simples cronico e prurigo;Líquen simples crônico e prurigo
L29;L29   Prurido;Prurido
L30;L30   Outr dermatites;Outras dermatites
L40;L40   Psoriase;Psoríase
L41;L41   Parapsoriase;Parapsoríase
L42;L42   Pitiriase rosea;Pitiríase rósea
L43;L43   Liquen plano;Líquen plano
L44;L44   Outr afeccoes papulo-descamativas;Outras afecções pápulo-descamativas
L45;L45   Afeccoes papulo-descamativas em doenc COP;Afecções pápulo-descamativas em doenças classificadas em outra parte
L50;L50   Urticaria;Urticária
L51;L51   Eritema polimorfo;Eritema polimorfo (eritema multiforme)
L52;L52   Eritema nodoso;Eritema nodoso
L53;L53   Outr afeccoes eritematosas;Outras afecções eritematosas
L54;L54   Eritema em doenc COP;Eritema em doenças classificadas em outra parte
L55;L55   Queim solar;Queimadura solar
L56;L56   Outr alterac agud pele dev rad ultravioleta;Outras alterações agudas da pele devidas a radiação ultravioleta
L57;L57   Alter pele dev expos cron rad nao ionizante;Alterações da pele devidas à exposição crônica à radiação não ionizante
L58;L58   Radiodermatite;Radiodermatite
L59;L59   Outr afecc pele tec subcutan relac radiacao;Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação
L60;L60   Afeccoes das unhas;Afecções das unhas
L62;L62   Afeccoes das unhas em doenc COP;Afecções das unhas em doenças classificadas em outra parte
L63;L63   Alopecia areata;Alopécia areata
L64;L64   Alopecia androgenica;Alopécia androgênica
L65;L65   Outr form nao cicatric perda cabelos pelos;Outras formas não cicatriciais da perda de cabelos ou pêlos
L66;L66   Alopecia cicatricial;Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]
L67;L67   Anormalidades cor e pediculo cabelos pelos;Anormalidades da cor e do pedículo dos cabelos e dos pêlos
L68;L68   Hipertricose;Hipertricose
L70;L70   Acne;Acne
L71;L71   Rosacea;Rosácea
L72;L72   Cistos foliculares da pele e tec subcutaneo;Cistos foliculares da pele e do tecido subcutâneo
L73;L73   Outr afeccoes foliculares;Outras afecções foliculares
L74;L74   Afeccoes das gland sudoriparas ecrinas;Afecções das glândulas sudoríparas écrinas
L75;L75   Afeccoes das gland sudoriparas apocrinas;Afecções das glândulas sudoríparas apócrinas
L80;L80   Vitiligo;Vitiligo
L81;L81   Outr transt da pigmentacao;Outros transtornos da pigmentação
L82;L82   Ceratose seborreica;Ceratose seborréica
L83;L83   Acantose nigricans;Acantose nigricans
L84;L84   Calos e calosidades;Calos e calosidades
L85;L85   Outr form de espessamento epidermico;Outras formas de espessamento epidérmico
L86;L86   Ceratodermia em doenc COP;Ceratodermia em doenças classificadas em outra parte
L87;L87   Transt da eliminacao transepidermica;Transtornos da eliminação transepidérmica
L88;L88   Piodermite gangrenosa;Piodermite gangrenosa
L89;L89   Ulcera de decubito;Úlcera de decúbito
L90;L90   Afeccoes atroficas da pele;Afecções atróficas da pele
L91;L91   Afeccoes hipertroficas da pele;Afecções hipertróficas da pele
L92;L92   Afeccoes granulomatosas pele tec subcutaneo;Afecções granulomatosas da pele e do tecido subcutâneo
L93;L93   Lupus eritematoso;Lúpus eritematoso
L94;L94   Outr afeccoes localizadas do tec conjuntivo;Outras afecções localizadas do tecido conjuntivo
L95;L95   Vasculite limitada a pele NCOP;Vasculite limitada a pele não classificadas em outra parte
L97;L97   Ulcera dos membros infer NCOP;Úlcera dos membros inferiores não classificada em outra parte
L98;L98   Outr afeccoes da pele e tec subcutaneo NCOP;Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte
L99;L99   Outr afeccoes pele tec subcutaneo doenc COP;Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte
M00;M00   Artrite piogenica;Artrite piogênica
M01;M01   Infecc diretas artic doenc infec parasit COP;Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte
M02;M02   Artropatias reacionais;Artropatias reacionais
M03;M03   Artropatias pos-infecc reac doenc infecc COP;Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte
M05;M05   Artrite reumatoide soro-positiva;Artrite reumatóide soro-positiva
M06;M06   Outr artrites reumatoides;Outras artrites reumatóides
M07;M07   Artropatias psoriasicas e enteropaticas;Artropatias psoriásicas e enteropáticas
M08;M08   Artrite juvenil;Artrite juvenil
M09;M09   Artrite juvenil em doenc COP;Artrite juvenil em doenças classificadas em outra parte
M10;M10   Gota;Gota
M11;M11   Outr artropatias p/deposicao de cristais;Outras artropatias por deposição de cristais
M12;M12   Outr artropatias espec;Outras artropatias especificadas
M13;M13   Outr artrites;Outras artrites
M14;M14   Artropatias em outr doenc COP;Artropatias em outras doenças classificadas em outra parte
M15;M15   Poliartrose;Poliartrose
M16;M16   Coxartrose;Coxartrose [artrose do quadril]
M17;M17   Gonartrose;Gonartrose [artrose do joelho]
M18;M18   Artrose prim articulacao carpometacarpiana;Artrose da primeira articulação carpometacarpiana
M19;M19   Outr artroses;Outras artroses
M20;M20   Deform adquir dedos maos e pes;Deformidades adquiridas dos dedos das mãos e dos pés
M21;M21   Outr deform adquir dos membros;Outras deformidades adquiridas dos membros
M22;M22   Transt da rotula;Transtornos da rótula [patela]
M23;M23   Transt internos dos joelhos;Transtornos internos dos joelhos
M24;M24   Outr transt articulares especificos;Outros transtornos articulares específicos
M25;M25   Outr transt articulares NCOP;Outros transtornos articulares não classificados em outra parte
M30;M30   Poliarterite nodosa e afeccoes correlatas;Poliarterite nodosa e afecções correlatas
M31;M31   Outr vasculopatias necrotizantes;Outras vasculopatias necrotizantes
M32;M32   Lupus eritematoso disseminado;Lúpus eritematoso disseminado [sistêmico]
M33;M33   Dermatopoliomiosite;Dermatopoliomiosite
M34;M34   Esclerose sistemica;Esclerose sistêmica
M35;M35   Outr afeccoes sistemicas do tec conjuntivo;Outras afecções sistêmicas do tecido conjuntivo
M36;M36   Doenc sistemicas do tec conjuntivo doenc COP;Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte
M40;M40   Cifose e lordose;Cifose e lordose
M41;M41   Escoliose;Escoliose
M42;M42   Osteocondrose da coluna vertebral;Osteocondrose da coluna vertebral
M43;M43   Outr dorsopatias deformantes;Outras dorsopatias deformantes
M45;M45   Espondilite ancilosante;Espondilite ancilosante
M46;M46   Outr espondilopatias inflam;Outras espondilopatias inflamatórias
M47;M47   Espondilose;Espondilose
M48;M48   Outr espondilopatias;Outras espondilopatias
M49;M49   Espondilopatias em doenc COP;Espondilopatias em doenças classificadas em outra parte
M50;M50   Transt dos discos cervicais;Transtornos dos discos cervicais
M51;M51   Outr transt de discos intervertebrais;Outros transtornos de discos intervertebrais
M53;M53   Outr dorsopatias NCOP;Outras dorsopatias não classificadas em outra parte
M54;M54   Dorsalgia;Dorsalgia
M60;M60   Miosite;Miosite
M61;M61   Calcificacao e ossificacao do musculo;Calcificação e ossificação do músculo
M62;M62   Outr transt musculares;Outros transtornos musculares
M63;M63   Transt de musculo em doenc COP;Transtornos de músculo em doenças classificadas em outra parte
M65;M65   Sinovite e tenossinovite;Sinovite e tenossinovite
M66;M66   Ruptura espontanea de sinovia e de tendao;Ruptura espontânea de sinóvia e de tendão
M67;M67   Outr transt das sinovias e dos tendoes;Outros transtornos das sinóvias e dos tendões
M68;M68   Transt de sinovias e de tendoes em doenc COP;Transtorno de sinóvias e de tendões em doenças classificadas em outra parte
